epoch,loss,val_loss,training_time,-1
0.0,0.03850928694009781,0.018552176654338837,,
1.0,0.014569836668670177,0.01430346816778183,,
2.0,0.012810038402676582,0.014055022969841957,,
3.0,0.012693251483142376,0.014031648635864258,,
4.0,0.012671723030507565,0.01402244996279478,,
5.0,0.012658032588660717,0.014016267843544483,,
6.0,0.012647011317312717,0.014011570252478123,,
7.0,0.012637844309210777,0.014007891528308392,,
8.0,0.01263038907200098,0.014004964381456375,,
9.0,0.012625028379261494,0.014002901501953602,,
,,,,6.015058517456055
