epoch,loss,val_loss,training_time,-1
0.0,0.01978534646332264,0.0035878638736903667,,
1.0,0.003820061916485429,0.0017650488298386335,,
2.0,0.0030863007996231318,0.0016339343274012208,,
3.0,0.002984188264235854,0.0015952185494825244,,
4.0,0.002944060368463397,0.0015830121701583266,,
5.0,0.0029250704683363438,0.0015718694776296616,,
6.0,0.002915917430073023,0.0015678034396842122,,
7.0,0.002335601020604372,0.0002224099589511752,,
8.0,8.824242831906304e-05,3.278815347584896e-05,,
9.0,3.444300818955526e-05,1.674949817243032e-05,,
,,,,10.687548875808716
